"lang"
{
	"Language"		"finnish"
	"Tokens"
	{
		// Item formatting
		"ItemNameUniqueFormat"						"%s2%s3"			// will turn into "The Battalion's Backup #1"; foreign languages that have gender/declension can change this to be "Shotgun #1" or whatever
		"ItemNameWithQualityFormat"					"%s2%s3"		// will turn into "Strange Shotgun #1"; foreign languages that have gender for adjectives can change this to be "Shotgun #1 (Strange)" or whatever
		"ItemNameCraftNumberFormat"					" #%s1"
		"ItemTypeDesc"								"Tason %s1 %s2"			// s1 is the level number, s2 is the item type. Example: "Level 4 Medigun"
		"ItemTypeDescNoLevel"						"Taso %s1"				// s1 is the level number. Example: "Level 12"
		"ItemTypeDescKillEater"						"%s1 %s2"				// s1 is the rarity, s2 is the item type
		"ItemTypeDescKillEaterAlt"					"%s2: %s1"				// "Kills: 123"
		"RarityTypeDesc"							"%s1 %s2"				// s1 is the rarity, s2 is the item type
		"Econ_Store_PurchaseType_Standard"			"%s1"

		//Market description attributes
		"AttribFormat_AdditionalNote"				"( %s1 )"
		
		// Rarity Names
		"Rarity_Common"								"Yleinen"
		"Rarity_Uncommon"							"Epätavallinen"
		"Rarity_Rare"								"Harvinainen"
		
		// Rich Presence set for Steam
		"Steam_DAC_RP_MainMenu"								"Päävalikko"
		"Steam_DAC_RP_InParty"								"Päävalikko – Ryhmät"
		"Steam_DAC_RP_InPrivateGame_Spectator"				"Katselee kierrosta %param0%"
		"Steam_DAC_RP_InGame_Spectator"						"Katselee kierrosta %param0%"
		"Steam_DAC_RP_InPrivateGame_Eliminated"				"Karsiutui – %param0%"
		"Steam_DAC_RP_InGame_Eliminated"					"Karsiutui – %param0%"
		"Steam_DAC_RP_InPrivateGame_Victory"				"Pelin jälkeen– %param0%"
		"Steam_DAC_RP_InGame_Victory"						"Pelin jälkeen – %param0%"
		"Steam_DAC_RP_Place_1"								"1. sija"
		"Steam_DAC_RP_Place_2"								"2. sija"
		"Steam_DAC_RP_Place_3"								"3. sija"
		"Steam_DAC_RP_Place_4"								"4. sija"
		"Steam_DAC_RP_Place_5"								"5. sija"
		"Steam_DAC_RP_Place_6"								"6. sija"
		"Steam_DAC_RP_Place_7"								"7. sija"
		"Steam_DAC_RP_Place_8"								"8. sija"
		"Steam_DAC_RP_InGame_Playing"						"Pelin erässä %param0%, elämää jäljellä: %param1%"
		"Steam_DAC_RP_InBotGame_Playing"					"Bottipelin erässä %param0%, elämää jäljellä: %param1%"
		"Steam_DAC_RP_InPrivateGame_Playing"				"Yksityinen peli erässä %param0%, elämää jäljellä: %param1%"
		"Steam_DAC_RP_InPrivateGame_Disconnected"			"Yksityinen peli – yhteys poikki"
		"Steam_DAC_RP_InGame_Disconnected"					"Pelissä – yhteys poikki"
				
		// Localization for item history reporting from the GC
		"ItemHistory_ActionWithTime"									"%s1 – %s2"
		"ItemHistory_Action_GenericAdd"									"Lisätty"
		"ItemHistory_Action_GenericRemove"								"Poistettu tai muokattu"
		"ItemHistory_Action_Traded"										"Vaihdettu"
		"ItemHistory_Action_Delete"										"Poistit tämän"
		"ItemHistory_Action_Banned"										"Kielletty"
		"ItemHistory_Action_CraftDestroy"								"Käytettiin luomisessa"
		"ItemHistory_Action_LimitExceeded"								"Tavaraluettelon rajoitukset esteenä"
		"ItemHistory_Action_SupportDelete"								"Steamin tuen poistama"
		"ItemHistory_Action_SupportDeletedByUndo"						"Steamin tuen poistama"
		"ItemHistory_Action_NameChanged_Remove"							"Nimi vaihdettu"
		"ItemHistory_Action_UnlockCrate_Remove"							"Aarteen avaamiseen käytetty"
		"ItemHistory_Action_PaintItem_Remove"							"Maalattu esine"
		"ItemHistory_Action_AddItemToSocket_Remove"						"Poistettu lovesta"
		"ItemHistory_Action_AddSocketToItem_Remove"						"Loven poistama"
		"ItemHistory_Action_RemoveSocketItem_Remove"					"Poistettu loviesine"
		"ItemHistory_Action_CustomizeItemTexture_Remove"				"Räätälöity tekstuuri"
		"ItemHistory_Action_ItemTraded_Remove"							"Vaihdettu"
		"ItemHistory_Action_UseItem"									"Käytetty"
		"ItemHistory_Action_SupportRename_Remove"						"Steamin tuki antoi uuden nimen"
		"ItemHistory_Action_SupportDescribe_Remove"						"Steamin tuki lisäsi mukautetun kuvauksen"
		"ItemHistory_Action_SupportStrangify_Remove"					"Steamin tuki määritteli kummalliseksi"
		"ItemHistory_Action_UnpackItemBundle"							"Avattu"
		"ItemHistory_Action_Unpurchase"									"Hyvitetty"
		"ItemHistory_Action_AwardGift_Giver"							"Lahja lähetetty"
		"ItemHistory_Action_RemoveItemName_Remove"						"Muokattu nimi poistettu"
		"ItemHistory_Action_RemoveItemPaint_Remove"						"Maalaus poistettu"
		"ItemHistory_Action_GiftWrap_Remove"							"Lahja paketoitu"
		"ItemHistory_Action_GiftDelivery_Remove"						"Lahja lähetetty"
		"ItemHistory_Action_GiftDelivery_Remove_WithPartner"			"Lahja lähetetty käyttäjälle %partner%"
		"ItemHistory_Action_GiftUnwrap_Remove"							"Avattu"
		"ItemHistory_Action_PackageItem_Revoked"						"Peruttu"
		"ItemHistory_Action_CafeOrSchoolItem_Remove"					"Kahvilan tai koulun vuoksi poistettu"
		"ItemHistory_Action_VACBanned_Remove"							"Poistettu VAC-kiellon takia"
		"ItemHistory_Action_UpgradeThirdPartyPromo"						"Kolmannen osapuolen kampanjapäivitys"
		"ItemHistory_Action_Expired"									"Vanhentunut"
		"ItemHistory_Action_RemoveItemCraftIndex_Remove"				"Poistettu luomisluettelon tyhjennyksen vuoksi"
		"ItemHistory_Action_RemoveItemMakersMark_Remove"				"Poistettu luojan nimi"
		"ItemHistory_Action_RemoveItemKillStreak_Remove"				"Poistettu tappoputken tyhjentämisen vuoksi"
		"ItemHistory_Action_TradeRollback_Remove"						"Vaihto kumottiin"
		"ItemHistory_Action_CDKeyRevoke"								"Tuotetunnus peruttu"
		"ItemHistory_Action_WeddingRing_Remove"							"Käytetty hääsormus-prosessissa"
		"ItemHistory_Action_CollectItem_RemoveCollection"				"Poistettu vanhan kokoelman esine"
		"ItemHistory_Action_CollectItem_CollectedItem"					"Lisätty kokoelmaan"
		"ItemHistory_Action_EconSetUnowned"								"Vaihdettu"
		"ItemHistory_Action_StrangePartApply_Remove"					"Poistettu kummallista muuntaa käyttäessä"
		"ItemHistory_Action_PennantUpgradeApply_Remove"					"Käytetty viirin päivitykseen"
		"ItemHistory_Action_AutographRemove"							"Käytetty esineen nimikirjoitukseen"
		"ItemHistory_Action_ConsumeItem_Consume_ToolRemove"				"Käytetty reseptin osana"
		"ItemHistory_Action_ConsumeItem_Consume_InputRemove"			"Käytetty ohjeen syötteenä"
		"ItemHistory_Action_ConsumeItem_Complete_ToolRemove"			"Käytetty ohjeen viimeistelyyn"
		"ItemHistory_Action_UnlockStyle_Remove"							"Tyyli avattu"
		"ItemHistory_Action_Purgatory_ExpiredAndAutoFinalized_Remove"	"Ostos viimeistelty"
		"ItemHistory_Action_Purgatory_Finalize_Remove"					"Ostos viimeistelty"
		"ItemHistory_Action_Purgatory_Refund"							"Hyvitetty"
		"ItemHistory_Action_AddSocket_Remove"							"Lovi lisätty"
		"ItemHistory_Action_ExtractGem_Remove"							"Jalokivi irrotettu"
		"ItemHistory_Action_NewYearsOffering"							"Kierrätetty"
		"ItemHistory_Action_ItemRedemption_Remove"						"Lunastettu"
		"ItemHistory_Action_ItemGiftMessageRefurbish_Remove"			"Lahjan viesti poistettu"
		"ItemHistory_Action_ItemGifterAccountIdRefurbish_Remove"		"Lahjanantajan tiedot poistettu"
		"ItemHistory_Action_Market_Remove"								"Listattu Steam-yhteisön kauppapaikalle"
		"ItemHistory_Action_MarketBuyback_Remove"						"Poistettu takaisinoston takia"
		"ItemHistory_Action_ManualItemConvertOperation_OldItem"			"Muunnettu"
		"ItemHistory_Action_ItemConsume"								"Kulutettu"
		"ItemHistory_Action_FantasyTicketConsume"						"Käytetty"
		"ItemHistory_Action_WeekendTourneyTicket_Consume"				"Käytetty"
		"ItemHistory_Action_PlayerCardDust"								"Yhdistetty yhdeksi esineeksi"
		"ItemHistory_Action_GSCreate"									"Pelipalvelimen myöntämä"
		"ItemHistory_Action_AwardAchievement"							"Ansaittu avaamalla saavutus"
		"ItemHistory_Action_QuantityChanged"							"Käytetty"
		"ItemHistory_Action_AwardTime"									"Löydetty"
		"ItemHistory_Action_ManualCreate"								"Steamin tuen luoma"
		"ItemHistory_Action_Drop"										"Löydetty"
		"ItemHistory_Action_Purchase"									"Ostettu kaupasta"
		"ItemHistory_Action_AutoGrantItem"								"Ansaittu"
		"ItemHistory_Action_CrossGameAchievement"						"Ansaittu avaamalla saavutus toisessa pelissä"
		"ItemHistory_Action_AwardGift_Receiver"							"Sai lahjan"
