"lang"
{
	"Language"		"greek"
	"Tokens"
	{
		// Item formatting
		"ItemNameUniqueFormat"						"%s1%s2%s3"			// will turn into "The Battalion's Backup #1"; foreign languages that have gender/declension can change this to be "Shotgun #1" or whatever
		"ItemNameWithQualityFormat"					"%s2%s3 (%s1)"		// will turn into "Strange Shotgun #1"; foreign languages that have gender for adjectives can change this to be "Shotgun #1 (Strange)" or whatever
		"ItemNameCraftNumberFormat"					" #%s1"
		"ItemTypeDesc"								"Επίπεδο %s1 %s2"			// s1 is the level number, s2 is the item type. Example: "Level 4 Medigun"
		"ItemTypeDescNoLevel"						"Επίπεδο %s1"				// s1 is the level number. Example: "Level 12"
		"ItemTypeDescKillEater"						"%s2 (%s1)"				// s1 is the rarity, s2 is the item type
		"ItemTypeDescKillEaterAlt"					"%s2: %s1"				// "Kills: 123"
		"RarityTypeDesc"							"%s2 (%s1)"				// s1 is the rarity, s2 is the item type
		"Econ_Store_PurchaseType_Standard"			"%s1"

		//Market description attributes
		"AttribFormat_AdditionalNote"				"( %s1 )"
		
		// Rarity Names
		"Rarity_Common"								"Κοινό"
		"Rarity_Uncommon"							"Ασύνηθες"
		"Rarity_Rare"								"Σπάνιο"
		
		// Rich Presence set for Steam
		"Steam_DAC_RP_MainMenu"								"Κεντρικό μενού"
		"Steam_DAC_RP_InParty"								"Κεντρικό μενού - Σε παρέα"
		"Steam_DAC_RP_FindingMatch"							"Εύρεση αγώνα"
		"Steam_DAC_RP_InPrivateGame_Spectator"				"Παρακολουθεί - Γύρος %param0%"
		"Steam_DAC_RP_InGame_Spectator"						"Παρακολουθεί - Γύρος %param0%"
		"Steam_DAC_RP_InPrivateGame_Eliminated"				"Εξοντώθηκε"
		"Steam_DAC_RP_InGame_Eliminated"					"Εξοντώθηκε"
		"Steam_DAC_RP_InPrivateGame_Victory"				"Λήξη παιχνιδιού"
		"Steam_DAC_RP_InGame_Victory"						"Λήξη παιχνιδιού"
		"Steam_DAC_RP_Place_1"								"1η θέση"
		"Steam_DAC_RP_Place_2"								"2η θέση"
		"Steam_DAC_RP_Place_3"								"3η θέση"
		"Steam_DAC_RP_Place_4"								"4η θέση"
		"Steam_DAC_RP_Place_5"								"5η θέση"
		"Steam_DAC_RP_Place_6"								"6η θέση"
		"Steam_DAC_RP_Place_7"								"7η θέση"
		"Steam_DAC_RP_Place_8"								"8η θέση"
		"Steam_DAC_RP_InGame_Playing"						"Παίζει - Γύρος %param0%, ζωή %param1%"
		"Steam_DAC_RP_InBotGame_Playing"					"Παίζει με ΑΙ - Γύρος %param0%, ζωή %param1%"
		"Steam_DAC_RP_InPrivateGame_Playing"				"Ιδιωτικό παιχνίδι - Γύρος %param0%, ζωή %param1%"
		"Steam_DAC_RP_InPrivateGame_Disconnected"			"Ιδιωτικό παιχνίδι - Αποσυνδέθηκε"
		"Steam_DAC_RP_InGame_Disconnected"					"Παίζει - Αποσυνδέθηκε"
				
		// Localization for item history reporting from the GC
		"ItemHistory_ActionWithTime"									"%s1 σε %s2"
		"ItemHistory_Action_GenericAdd"									"Προστέθηκε"
		"ItemHistory_Action_GenericRemove"								"Αφαιρέθηκε ή τροποποιήθηκε"
		"ItemHistory_Action_Traded"										"Ανταλλάχθηκε"
		"ItemHistory_Action_Delete"										"Το διαγράψατε"
		"ItemHistory_Action_Banned"										"Αποκλείστηκε"
		"ItemHistory_Action_CraftDestroy"								"Χρησιμοποιήθηκε σε κατασκευή"
		"ItemHistory_Action_LimitExceeded"								"Καταστράφηκε από όριο σακιδίου"
		"ItemHistory_Action_SupportDelete"								"Διαγράφηκε από Υποστήριξη Steam"
		"ItemHistory_Action_SupportDeletedByUndo"						"Διαγράφηκε από Υποστήριξη Steam"
		"ItemHistory_Action_NameChanged_Remove"							"Μετονομάστηκε"
		"ItemHistory_Action_UnlockCrate_Remove"							"Χρησιμοποιήθηκε για άνοιγμα θησαυρού"
		"ItemHistory_Action_PaintItem_Remove"							"Βάφτηκε αντικείμενο"
		"ItemHistory_Action_AddItemToSocket_Remove"						"Αφαιρέθηκε από υποδοχή"
		"ItemHistory_Action_AddSocketToItem_Remove"						"Αφαιρέθηκε από την υποδοχή"
		"ItemHistory_Action_RemoveSocketItem_Remove"					"Αφαιρέθηκε αντικείμενο υποδοχής"
		"ItemHistory_Action_CustomizeItemTexture_Remove"				"Προσαρμόστηκε η υφή"
		"ItemHistory_Action_ItemTraded_Remove"							"Ανταλλάχθηκε"
		"ItemHistory_Action_UseItem"									"Χρησιμοποιήθηκε"
		"ItemHistory_Action_SupportRename_Remove"						"Μετονομάστηκε από Υποστήριξη Steam"
		"ItemHistory_Action_SupportDescribe_Remove"						"Προστέθηκε προσαρμοσμένη περιγραφή από Υποστήριξη Steam"
		"ItemHistory_Action_SupportStrangify_Remove"					"Η Υποστήριξη Steam παραξενοποίησε αντικείμενο"
		"ItemHistory_Action_UnpackItemBundle"							"Ξεπακεταρίστηκε"
		"ItemHistory_Action_Unpurchase"									"Επιστράφηκαν χρήματα"
		"ItemHistory_Action_AwardGift_Giver"							"Στάλθηκε δώρο"
		"ItemHistory_Action_RemoveItemName_Remove"						"Αφαιρέθηκε προσαρμοσμένο όνομα"
		"ItemHistory_Action_RemoveItemPaint_Remove"						"Αφαιρέθηκε μπογιά"
		"ItemHistory_Action_GiftWrap_Remove"							"Τυλίχθηκε δώρο"
		"ItemHistory_Action_GiftDelivery_Remove"						"Στάλθηκε δώρο"
		"ItemHistory_Action_GiftDelivery_Remove_WithPartner"			"Στάλθηκε δώρο σε %partner%"
		"ItemHistory_Action_GiftUnwrap_Remove"							"Ξετυλίχθηκε"
		"ItemHistory_Action_PackageItem_Revoked"						"Ανακλήθηκε"
		"ItemHistory_Action_CafeOrSchoolItem_Remove"					"Αφαίρεση Internet Café ή σχολείου"
		"ItemHistory_Action_VACBanned_Remove"							"Διαγράφηκε λόγω αποκλεισμού VAC"
		"ItemHistory_Action_UpgradeThirdPartyPromo"						"Προωθητική αναβάθμιση τρίτων"
		"ItemHistory_Action_Expired"									"Έληξε"
		"ItemHistory_Action_RemoveItemCraftIndex_Remove"				"Αφαιρέθηκε από αφαίρεση δείκτη κατασκευής"
		"ItemHistory_Action_RemoveItemMakersMark_Remove"				"Αφαιρέθηκε το όνομα κατασκευαστή"
		"ItemHistory_Action_RemoveItemKillStreak_Remove"				"Αφαιρέθηκε από αφαίρεση σερί σκοτωμών"
		"ItemHistory_Action_TradeRollback_Remove"						"Η ανταλλαγή ανακαλέστηκε"
		"ItemHistory_Action_CDKeyRevoke"								"Ανακαλέστηκε κλειδί CD"
		"ItemHistory_Action_WeddingRing_Remove"							"Χρησιμοποιήθηκε στη διαδικασία δακτυλιδιού γάμου"
		"ItemHistory_Action_CollectItem_RemoveCollection"				"Αφαιρέθηκε παλιό αντικείμενο συλλογής"
		"ItemHistory_Action_CollectItem_CollectedItem"					"Προστέθηκε σε συλλογή"
		"ItemHistory_Action_EconSetUnowned"								"Ανταλλάχθηκε"
		"ItemHistory_Action_StrangePartApply_Remove"					"Αφαιρέθηκε όταν εφαρμόστηκε παράξενος τροποποιητής"
		"ItemHistory_Action_PennantUpgradeApply_Remove"					"Χρησιμοποιήθηκε για εφαρμογή αναβάθμισης λάβαρου"
		"ItemHistory_Action_AutographRemove"							"Χρησιμοποιήθηκε για αυτόγραφο σε αντικείμενο"
		"ItemHistory_Action_ConsumeItem_Consume_ToolRemove"				"Χρησιμοποιήθηκε ως είσοδος σε συνταγή"
		"ItemHistory_Action_ConsumeItem_Consume_InputRemove"			"Χρησιμοποιήθηκε ως είσοδος σε συνταγή"
		"ItemHistory_Action_ConsumeItem_Complete_ToolRemove"			"Χρησιμοποιήθηκε για ολοκλήρωση συνταγής"
		"ItemHistory_Action_UnlockStyle_Remove"							"Ξεκλειδώθηκε ένα στυλ"
		"ItemHistory_Action_Purgatory_ExpiredAndAutoFinalized_Remove"	"Ολοκληρώθηκε αγορά"
		"ItemHistory_Action_Purgatory_Finalize_Remove"					"Ολοκληρώθηκε αγορά"
		"ItemHistory_Action_Purgatory_Refund"							"Επιστράφηκαν χρήματα"
		"ItemHistory_Action_AddSocket_Remove"							"Προστέθηκε υποδοχή"
		"ItemHistory_Action_ExtractGem_Remove"							"Αποσπάστηκε πετράδι"
		"ItemHistory_Action_NewYearsOffering"							"Ανακυκλώθηκε"
		"ItemHistory_Action_ItemRedemption_Remove"						"Εξαργυρώθηκε"
		"ItemHistory_Action_ItemGiftMessageRefurbish_Remove"			"Αφαιρέθηκε αφιέρωση δώρου"
		"ItemHistory_Action_ItemGifterAccountIdRefurbish_Remove"		"Αφαιρέθηκαν πληροφορίες δωρητή"
