"lang"
{
	"Language"		"russian"
	"Tokens"
	{
		// Item formatting
		"ItemNameUniqueFormat"						"%s1%s2%s3"			// will turn into "The Battalion's Backup #1"; foreign languages that have gender/declension can change this to be "Shotgun #1" or whatever
		"ItemNameWithQualityFormat"					"%s1 %s2%s3"		// will turn into "Strange Shotgun #1"; foreign languages that have gender for adjectives can change this to be "Shotgun #1 (Strange)" or whatever
		"ItemNameCraftNumberFormat"					" #%s1"
		"ItemTypeDesc"								"%s2 %s1-го уровня"			// s1 is the level number, s2 is the item type. Example: "Level 4 Medigun"
		"ItemTypeDescNoLevel"						"%s1-го уровня"				// s1 is the level number. Example: "Level 12"
		"ItemTypeDescKillEater"						"%s2, %s1"				// s1 is the rarity, s2 is the item type
		"ItemTypeDescKillEaterAlt"					"%s2: %s1"				// "Kills: 123"
		"RarityTypeDesc"							"%s2, %s1"				// s1 is the rarity, s2 is the item type
		"Econ_Store_PurchaseType_Standard"			"%s1"

		//Market description attributes
		"AttribFormat_AdditionalNote"				"(%s1)"
		
		// Rarity Names
		"Rarity_Common"								"Обычная"
		"Rarity_Uncommon"							"Необычная"
		"Rarity_Rare"								"Редкая"
		
		// Rich Presence set for Steam
		"Steam_DAC_RP_MainMenu"								"В главном меню"
		"Steam_DAC_RP_InParty"								"В главном меню: группа"
		"Steam_DAC_RP_InPrivateGame_Spectator"				"Наблюдение: %param0% раунд"
		"Steam_DAC_RP_InGame_Spectator"						"Наблюдение: %param0% раунд"
		"Steam_DAC_RP_InPrivateGame_Eliminated"				"Поражение"
		"Steam_DAC_RP_InGame_Eliminated"					"Поражение"
		"Steam_DAC_RP_InPrivateGame_Victory"				"Игра завершена"
		"Steam_DAC_RP_InGame_Victory"						"Игра завершена"
		"Steam_DAC_RP_Place_1"								"1 место"
		"Steam_DAC_RP_Place_2"								"2 место"
		"Steam_DAC_RP_Place_3"								"3 место"
		"Steam_DAC_RP_Place_4"								"4 место"
		"Steam_DAC_RP_Place_5"								"5 место"
		"Steam_DAC_RP_Place_6"								"6 место"
		"Steam_DAC_RP_Place_7"								"7 место"
		"Steam_DAC_RP_Place_8"								"8 место"
		"Steam_DAC_RP_InGame_Playing"						"В игре: %param0% раунд, %param1% здоровья"
		"Steam_DAC_RP_InBotGame_Playing"					"В игре с ботами: %param0% раунд, %param1% здоровья"
		"Steam_DAC_RP_InPrivateGame_Playing"				"Закрытая игра: %param0% раунд, %param1% здоровья"
		"Steam_DAC_RP_InPrivateGame_Disconnected"			"Закрытая игра: соединение потеряно"
		"Steam_DAC_RP_InGame_Disconnected"					"В игре: соединение потеряно"
				
		// Localization for item history reporting from the GC
		"ItemHistory_ActionWithTime"									"%s1 %s2"
		"ItemHistory_Action_GenericAdd"									"Добавлено"
		"ItemHistory_Action_GenericRemove"								"Удалено либо изменено"
		"ItemHistory_Action_Traded"										"Обменено"
		"ItemHistory_Action_Delete"										"Удалено вами"
		"ItemHistory_Action_Banned"										"Заблокировано"
		"ItemHistory_Action_CraftDestroy"								"Использовано при ковке"
		"ItemHistory_Action_LimitExceeded"								"Потеряно из-за недостатка места в рюкзаке"
		"ItemHistory_Action_SupportDelete"								"Удалено поддержкой Steam"
		"ItemHistory_Action_SupportDeletedByUndo"						"Удалено поддержкой Steam"
		"ItemHistory_Action_NameChanged_Remove"							"Название изменено"
		"ItemHistory_Action_UnlockCrate_Remove"							"Использовано для открытия сокровищницы"
		"ItemHistory_Action_PaintItem_Remove"							"Покрашено"
		"ItemHistory_Action_AddItemToSocket_Remove"						"Удалено из гнезда"
		"ItemHistory_Action_AddSocketToItem_Remove"						"Убрано гнездом"
		"ItemHistory_Action_RemoveSocketItem_Remove"					"Предмет из гнезда удалён"
		"ItemHistory_Action_CustomizeItemTexture_Remove"				"Окраска изменена"
		"ItemHistory_Action_ItemTraded_Remove"							"Обменено"
		"ItemHistory_Action_UseItem"									"Использовано"
		"ItemHistory_Action_SupportRename_Remove"						"Переименовано поддержкой Steam"
		"ItemHistory_Action_SupportDescribe_Remove"						"Получено новое описание от поддержки Steam"
		"ItemHistory_Action_SupportStrangify_Remove"					"Сделано странным поддержкой Steam"
		"ItemHistory_Action_UnpackItemBundle"							"Распаковано"
		"ItemHistory_Action_Unpurchase"									"Средства возвращены"
		"ItemHistory_Action_AwardGift_Giver"							"Отправлено в подарок"
		"ItemHistory_Action_RemoveItemName_Remove"						"Изменённое название удалено"
		"ItemHistory_Action_RemoveItemPaint_Remove"						"Окраска удалена"
		"ItemHistory_Action_GiftWrap_Remove"							"Завёрнуто в подарок"
		"ItemHistory_Action_GiftDelivery_Remove"						"Отправлено в подарок"
		"ItemHistory_Action_GiftDelivery_Remove_WithPartner"			"Отправлено в подарок для %partner%"
		"ItemHistory_Action_GiftUnwrap_Remove"							"Получено в подарок"
		"ItemHistory_Action_PackageItem_Revoked"						"Отозвано"
		"ItemHistory_Action_CafeOrSchoolItem_Remove"					"Удалено администрацией кафе или школы"
		"ItemHistory_Action_VACBanned_Remove"							"Удалено в связи с блокировкой VAC"
		"ItemHistory_Action_UpgradeThirdPartyPromo"						"Улучшено третьей стороной"
		"ItemHistory_Action_Expired"									"Срок действия истёк"
		"ItemHistory_Action_RemoveItemCraftIndex_Remove"				"Удалено из-за снятия индекса ковки"
		"ItemHistory_Action_RemoveItemMakersMark_Remove"				"Имя создателя удалено"
		"ItemHistory_Action_RemoveItemKillStreak_Remove"				"Удалено из-за снятия серии убийств"
		"ItemHistory_Action_TradeRollback_Remove"						"Обмен аннулирован"
		"ItemHistory_Action_CDKeyRevoke"								"Цифровой ключ отозван"
		"ItemHistory_Action_WeddingRing_Remove"							"Использовано при создании знака вечной любви"
		"ItemHistory_Action_CollectItem_RemoveCollection"				"Удалён предмет из старой коллекции"
		"ItemHistory_Action_CollectItem_CollectedItem"					"Добавлено в коллекцию"
		"ItemHistory_Action_EconSetUnowned"								"Обменяно"
		"ItemHistory_Action_StrangePartApply_Remove"					"Удалено при использовании странного модификатора"
		"ItemHistory_Action_PennantUpgradeApply_Remove"					"Использовано при улучшении вымпела"
		"ItemHistory_Action_AutographRemove"							"Использовано, чтобы подписать предмет"
		"ItemHistory_Action_ConsumeItem_Consume_ToolRemove"				"Использовано в рецепте"
		"ItemHistory_Action_ConsumeItem_Consume_InputRemove"			"Использовано в рецепте"
		"ItemHistory_Action_ConsumeItem_Complete_ToolRemove"			"Использовано для завершения рецепта"
		"ItemHistory_Action_UnlockStyle_Remove"							"Разблокирован стиль"
		"ItemHistory_Action_Purgatory_ExpiredAndAutoFinalized_Remove"	"Покупка завершена"
		"ItemHistory_Action_Purgatory_Finalize_Remove"					"Покупка завершена"
		"ItemHistory_Action_Purgatory_Refund"							"Возмещено"
		"ItemHistory_Action_AddSocket_Remove"							"Гнездо добавлено"
		"ItemHistory_Action_ExtractGem_Remove"							"Самоцвет вынут"
		"ItemHistory_Action_NewYearsOffering"							"Перековано"
		"ItemHistory_Action_ItemRedemption_Remove"						"Активировано"
		"ItemHistory_Action_ItemGiftMessageRefurbish_Remove"			"Подарочная записка удалена"
		"ItemHistory_Action_ItemGifterAccountIdRefurbish_Remove"		"Информация об отправителе удалена"
		"ItemHistory_Action_Market_Remove"								"Выставлено на Торговую площадку"
		"ItemHistory_Action_MarketBuyback_Remove"						"Убрано при выкупе"
		"ItemHistory_Action_ManualItemConvertOperation_OldItem"			"Преобразовано"
		"ItemHistory_Action_ItemConsume"								"Использовано"
		"ItemHistory_Action_FantasyTicketConsume"						"Использовано"
		"ItemHistory_Action_WeekendTourneyTicket_Consume"				"Использовано"
		"ItemHistory_Action_PlayerCardDust"								"Объединено в один предмет"
		"ItemHistory_Action_GSCreate"									"Предоставлено игровым сервером, на котором вы играли"
		"ItemHistory_Action_AwardAchievement"							"Получено за достижение"
		"ItemHistory_Action_QuantityChanged"							"Использовано"
		"ItemHistory_Action_AwardTime"									"Найдено"
		"ItemHistory_Action_ManualCreate"								"Создано службой поддержки Steam"
		"ItemHistory_Action_Drop"										"Найдено"
		"ItemHistory_Action_Purchase"									"Куплено в магазине"
		"ItemHistory_Action_AutoGrantItem"								"Получено"
		"ItemHistory_Action_CrossGameAchievement"						"Получено за достижение в другой игре"
		"ItemHistory_Action_AwardGift_Receiver"							"Получено в подарок"
		"ItemHistory_Action_AwardStorePromotionItem"					"Куплено в магазине"
		"ItemHistory_Action_EarnedItem"									"Получено"
		"ItemHistory_Action_AwardThirdPartyPromo"						"Получено в промо-акции"
		"ItemHistory_Action_SteamWorkshopContributor"					"Получено за работу в мастерской Steam"
		"ItemHistory_Action_GiftDelivery_Add"							"Получено в подарок"
		"ItemHistory_Action_GiftDelivery_Add_WithPartner"				"Получено в подарок от %partner%"
