"lang"
{ 
	"Language" "dutch" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatische aanval"
		"dac_ability_regen"														"Regenereren"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Mana-afbraak"
		"dac_ability_antimage_mana_break_Description"							"PASSIEF: De Antimagiër verbrandt per aanval {s:mana_per_hit} mana van de tegenstander en richt 50% van de verbrande mana als schade toe aan het doelwit. Hij verbrandt {s:hype_per_hit} hype als hij een Underlord treft."
		"dac_ability_antimage_mana_break_Lore"									"De Antimagiër is voor mij gekomen... en ik ben er klaar voor. – <i>Turath, vluchteling uit het Tylerdomein</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Pijnkreet"
		"dac_ability_queenofpain_scream_of_pain_Description"					"De Koningin der pijn laat een doordringende schreeuw rondom haar los, die {s:damage} schade aan alle vijanden in een straal van {s:radius} cellen aanricht."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"Akasha mag dan geen goede vriendin zijn, maar ze helpt me graag als dat betekent dat ze later de baas over me mag spelen. – <i>Anessix, pragmatische demon</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Lagunazwaard"
		"dac_ability_lina_laguna_blade_Description"								"Lina vuurt een bliksemschicht af en brengt {s:damage} schade toe aan een enkele eenheid, die in brand wordt gezet voor {s:fire_duration} seconden."
		"dac_ability_lina_laguna_blade_Lore"									"Het was niet zo moeilijk om Lina naar Witspits te krijgen, aangezien we elkaars werk bewonderen. – <i>Hobgen, professioneel brandstichter</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Roep der natuur"
		"dac_ability_natures_prophet_summon_tree_Description"					"De Natuurprofeet roept een treant op. Deze treant wordt als druïde beschouwd."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Enno heeft zich tot zijn vriendjes uit het bos gewend... Dit kan een probleem worden. – <i>O'nia, verbannen handelaar uit Revtel</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Toorn der natuur"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"De Natuurprofeet raakt een doelwit met energie die {s:damage} schade aanricht. De energie springt {s:jumps} keer tussen vijanden op het bord en richt daarbij {s:increase_pct}% meer schade per sprong aan."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"In feite is mijn doel overbodig. Je hebt geen wapen nodig om iemand te doden. Heb gewoon wat geduld en laat de natuur zijn gang gaan. – <i>Quiet, berekenende automaat</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Krachtschot"
		"dac_ability_windrunner_powershot_Description"							"De Windschutter laadt haar boog {s:castPoint} seconden op voor een enkel krachtig schot, dat maximaal {s:powershot_damage} schade aanricht. Elke geraakte vijand verlaagt de schade van het schot met {s:damage_reduction}%."
		"dac_ability_windrunner_powershot_Lore"									"Tijdens mijn reizen heb ik veel vrienden gemaakt die nog bij me in het krijt staan. – <i>Wren, wereldreiziger</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Verlammende dosis"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"De Medicijnman gooit een vat verlammend poeder dat {s:bounces} keer tussen vijandelijke eenheden springt en deze verlamt en {s:damage} schade aanricht."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Ik zie je graag aan het werk, Doc... – <i>Hobgen, ondeugende fee</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Strijdwoede"
		"dac_ability_juggernaut_blade_fury_Description"							"De Kolos draait rond met zijn zwaard, waardoor hij immuun wordt voor magie en {s:duration} seconden lang {s:damage} schade per seconde aan vijandelijke eenheden in een straal van {s:radius} cel aanricht. De Kolos kan ook gaan ronddraaien om een magische aanval te ontwijken."
		"dac_ability_juggernaut_blade_fury_Lore"								"Yurnero is niet zomaar een strijder. Hij is een kolos. Als we hem aan onze zijde krijgen, dan stapelen de lijken zich op. – <i>Grek bekijkt alle opties</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"Ondergrondse aanval"
		"dac_ability_sandking_burrowstrike_Description"							"De Zandkoning graaft zich in onder de grond en schiet vooruit, waarbij hij {s:damage} schade bij vijanden aanricht en ze {s:stun_duration} seconden verlamt.<br>Past een lading van 'Bijtende finale' toe op alle geraakte vijanden."
		"dac_ability_sandking_burrowstrike_Lore"								"Ons tunnelnetwerk heeft veel werk gekost, dus we kunnen de Zandkoning alles niet zomaar laten vernietigen. – <i>Jull, drankbaron</i>"

		"dac_ability_sandking_caustic_finale"									"Bijtende finale"
		"dac_ability_sandking_caustic_finale_Description"						"PASSIEF: Wanneer de Zandkoning een vijand aanvalt, vergiftigt hij deze {s:apply_duration} seconden. Na afloop explodeert het gif, richt het {s:damage_aoe} schade aan en vertraagt het de aanvalssnelheid van alle vijanden rond het doelwit {s:slow_duration} seconden met {s:attack_slow}. De schade wordt gehalveerd als het doelwit nog leeft."
		"dac_ability_sandking_caustic_finale_Lore"								"Is het zo veel moeite om even een dekzeil te gebruiken? – <i>Anessix, onbevlekte duivelsaanbidder</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Requiem der zielen"
		"dac_ability_shadow_fiend_requiem_Description"							"De Schaduwduivel stuurt de zielen van de vervloekten en laat demonische energie rond hem heen los, waarbij hij {s:damage} schade aan alle getroffen vijanden aanricht."
		"dac_ability_shadow_fiend_requiem_Lore"									"Het Hof van Ristul en ik hebben een... overeenkomst. – <i>Anessix, aardgebonden demon</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Genadeklap"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"PASSIEF: De Fantoommoordenaar heeft een kans van {s:crit_chance}% om een verwoestende kritieke treffer van {s:crit_bonus}% bij vijandelijke eenheden te veroorzaken."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Ze heeft Kwerthias vermoord. Waarom zou ik niet aannemen dat ze ook achter mij aankomt? – <i>O'nia, paranoïde handelaar</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Precisieaura"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"PASSIEF: De Drow-waker verhoogt de aanvalssnelheid van alle bondgenoten in een straal van {s:range} cel met {s:bonus}%."
