"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Автоатака"
		"dac_ability_regen"														"Регенерація"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Спалення мани"
		"dac_ability_antimage_mana_break_Description"							"ПАСИВНО: кожна атака Антимага спалює {s:mana_per_hit} мани ворога і завдає йому шкоду, що дорівнює 50% спаленої мани. Спалює {s:hype_per_hit} репутації, коли влучає в підлорда."
		"dac_ability_antimage_mana_break_Lore"									"Антимаг прийшов за мною… але я готовий його зустріти. — <i>Турат, утікач із маєтку Тайлерів</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Крик болю"
		"dac_ability_queenofpain_scream_of_pain_Description"					"Королева Болю пронизливо кричить, чим завдає {s:damage} шкоди ворогам у радіусі {s:radius}."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"Акаша, можливо, не надто близький друг, але вона радо мені допоможе, якщо думатиме, що зможе керувати мною опісля. — <i>Анесикс, прагматичний демон</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Сяюче лезо"
		"dac_ability_lina_laguna_blade_Description"								"Ліна випускає розряд блискавки, що завдає {s:damage} шкоди одній істоті й підпалює її на {s:fire_duration} с."
		"dac_ability_lina_laguna_blade_Lore"									"Було нескладно вмовити Ліну прибути до Білого Шпилю, адже ми в захваті від роботи одне одного. — <i>Гобґен, професійний палій</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Поклик природи"
		"dac_ability_natures_prophet_summon_tree_Description"					"Провісник Природи прикликає ента. Цей ент вважається друїдом. Тризірковий ент з’являється на ворожій частині поля."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Енно вийшов на зв’язок зі своїми маленькими лісовими друзями… це може спричинити проблему. — <i>Оня, ревтельський купець-вигнанець</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Гнів природи"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"Провісник Природи завдає цілі {s:damage} шкоди. Заряд відскакує кілька разів ({s:jumps}) між ворогами на полі бою. З кожним відскоком шкода зростає на {s:increase_pct}%."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"Річ у тім, що справа рук моїх зайва. Для вбивства не потрібна зброя — лише терпіння, щоби природа взяла своє. — <i>Тиша, розважлива годинникарка</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Потужний постріл"
		"dac_ability_windrunner_powershot_Description"							"Вітряна Рейнджер упродовж {s:castPoint} с заряджає свій лук для могутнього пострілу, який завдає {s:powershot_damage} шкоди. З кожним наступним ворогом, у якого влучає постріл, шкода зменшується на {s:damage_reduction}%."
		"dac_ability_windrunner_powershot_Lore"									"Під час своїх подорожей я завела багатьох друзів і не боюся просити про послуги. — <i>Врен, мандрівниця світом</i>"

		//WITCHDOCTOR
