"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"โจมตีอัตโนมัติ"
		"dac_ability_regen"														"ฟื้นฟู"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"ผลาญมานา"
		"dac_ability_antimage_mana_break_Description"							"ติดตัว: แอนติเมจเผาผลาญมานาของศัตรู {s:mana_per_hit} หน่วยในการโจมตีแต่ละครั้ง และสร้างความเสียหายแก่เป้าหมาย 50% ของมานาที่เผาผลาญ เขาจะเผาผลาญ {s:hype_per_hit} ไฮป์เมื่อโจมตีอันเดอร์ลอร์ด"
		"dac_ability_antimage_mana_break_Lore"									"แอนติเมจกำลังตามมาหาข้า... และข้าก็จะพร้อมรับมือ - <i>ทูราธ ผู้หลบหนีจากคฤหาสน์ไทเลอร์</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"เสียงร้องแห่งความเจ็บปวด"
		"dac_ability_queenofpain_scream_of_pain_Description"					"ควีนออฟเพนปลดปล่อยเสียงกรีดร้องจนแสบแก้วหูรอบ ๆ ตัว สร้างความเสียหาย {s:damage} หน่วยแก่ศัตรูที่อยู่ในระยะ {s:radius} ช่อง"
		"dac_ability_queenofpain_scream_of_pain_Lore"							"อาคาชาอาจไม่ใช่เพื่อนสนิท แต่นางก็ยินดีช่วยเหลือข้า ถ้าหากนางคิดว่าสามารถใช้คุยข่มข้าได้ในภายหลัง - <i>อเนสซิกซ์ ปีศาจปฏิบัตินิยม</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"ดาบลากูน่า"
		"dac_ability_lina_laguna_blade_Description"								"ลีนายิงสายฟ้าพิฆาต สร้างความเสียหาย {s:damage} หน่วยแก่หนึ่งยูนิต และทำให้ยูนิตดังกล่าวติดไฟเป็นเวลา {s:fire_duration} วินาที"
		"dac_ability_lina_laguna_blade_Lore"									"มันไม่ยากเลยที่จะเชื้อเชิญลีนามายังไวท์สไปร์ เราทั้งสองก็ต่างชื่นชมงานของกันและกันอยู่แล้ว - <i>ฮอบเกน นักวางเพลิงมืออาชีพ</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"ธรรมชาติเพรียกหา"
		"dac_ability_natures_prophet_summon_tree_Description"					"เนเจอร์สพรอเฟตอัญเชิญเทรียนต์ เทรียนต์นี้จะถือว่าเป็นดรูอิด"
		"dac_ability_natures_prophet_summon_tree_Lore"							"เอ็นโนได้ติดต่อเพื่อนป่าตัวน้อยของเขา... นี่อาจเป็นปัญหาได้ - <i>โอเนีย แม่ค้าแห่งเรฟเทลที่ถูกเนรเทศ</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"ธรรมชาติพิโรธ"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"เนเจอร์สพรอเฟตปล่อยพลังงานใส่เป้าหมายด้วยความเสียหาย {s:damage} หน่วย ซึ่งจะชิ่ง {s:jumps} ครั้งท่ามกลางศัตรูในกระดาน เพิ่มความเสียหาย {s:increase_pct}% ต่อการชิ่งแต่ละครั้ง"
