"lang"
{
	"Language"		"vietnamese"
	"Tokens"
	{
		"DAC_ItemType_Barricade_Skin"		"Diện mạo Rào Chắn"
		"DAC_ItemType_Board_Buddy_Title"		"Board Buddy"
		"DAC_ItemType_Board_Spray"		"Bình xịt bàn đấu"
		"DAC_ItemType_Comic"		"Comic"
		"DAC_ItemType_Default"		"Mặc định"
		"DAC_ItemType_Fireworks"		"Hiệu ứng pháo hoa"
		"DAC_ItemType_Hero_Skin"		"Diện mạo tướng"
		"DAC_ItemType_Key"		"Key"
		"DAC_ItemType_KillStreak"		"Hiệu ứng chuỗi thắng"
		"DAC_ItemType_LootList"		"Mystery Treasure"
		"DAC_ItemType_Map"		"Bàn đấu"
		"DAC_ItemType_Map_Prop"		"Đồ trang trí bản đồ"
		"DAC_ItemType_PlayerChatWheel"		"Vòng tán gẫu"
		"DAC_ItemType_PlayerFlagBase"		"Cột cờ"
		"DAC_ItemType_PlayerFlagImage"		"Ảnh trên cờ"
		"DAC_ItemType_PlayerFlagShape"		"Hình dạng cờ"
		"DAC_ItemType_PlayerProfileRing"		"Viền hồ sơ"
		"DAC_ItemType_PlayerTitle"		"Danh hiệu người chơi"
		"DAC_ItemType_PlayerYo"		"Tiếng Yo"
		"DAC_ItemType_StreetfightItem"		"Streetfight Item"
		"DAC_ItemType_Talent"		"Tiềm năng"
		"DAC_ItemType_Target_Buddy_Skin"		"Diện mạo Bù nhìn"
		"DAC_ItemType_Teleport"		"Hiệu ứng thành phù"
		"DAC_ItemType_UnderlordItem"		"Underlord Item"
		"DAC_ItemType_Underlord_Damage_Effect"		"Hiệu ứng sát thương của Underlord"
		"DAC_ItemType_Wanted_Poster"		"Áp phích truy nã"
		"DAC_ItemType_Wanted_Poster_Title"		"Wanted Poster Title"
		"DAC_Item_100Credits"		"100 Coins"
		"DAC_Item_100Credits_Desc"		"100 Coins"
		"DAC_Item_13000"		"Streetfight Claymore"
		"DAC_Item_13000_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13001"		"Streetfight Claymore"
		"DAC_Item_13001_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13002"		"Streetfight Claymore"
		"DAC_Item_13002_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13003"		"Streetfight Claymore"
		"DAC_Item_13003_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13004"		"Streetfight Void Stone"
		"DAC_Item_13004_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13005"		"Streetfight Void Stone"
		"DAC_Item_13005_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13006"		"Streetfight Void Stone"
		"DAC_Item_13006_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13007"		"Streetfight Void Stone"
		"DAC_Item_13007_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13008"		"Streetfight Vitality Booster"
		"DAC_Item_13008_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13009"		"Streetfight Vitality Booster"
		"DAC_Item_13009_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13010"		"Streetfight Vitality Booster"
		"DAC_Item_13010_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13011"		"Streetfight Vitality Booster"
		"DAC_Item_130116"		"Streetfight Battle Fury"
		"DAC_Item_130116_desc"		"Tier 3 item - for use in City Crawl Streetfights"
		"DAC_Item_13011_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13012"		"Streetfight Chainmail"
		"DAC_Item_13012_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13016"		"Streetfight Gloves of Haste"
		"DAC_Item_13016_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13017"		"Streetfight Gloves of Haste"
		"DAC_Item_13017_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13018"		"Streetfight Gloves of Haste"
		"DAC_Item_13018_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13019"		"Streetfight Gloves of Haste"
		"DAC_Item_13019_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13020"		"Streetfight headdress"
		"DAC_Item_13020_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13021"		"Streetfight headdress"
		"DAC_Item_13021_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13022"		"Streetfight headdress"
		"DAC_Item_13022_desc"		"Tier 1 item - for use in City Crawl Streetfights"
		"DAC_Item_13023"		"Streetfight headdress"
		"DAC_Item_13023_desc"		"Tier 1 item - for use in City Crawl Streetfights"
