"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-angreb"
		"dac_ability_regen"														"Regenerering"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Manabrud"
		"dac_ability_antimage_mana_break_Description"							"PASSIVE: The Anti-Mage burns {s:mana_per_hit} of the opponent's mana on each attack, dealing 50% of the mana burned as damage to the target."
		"dac_ability_antimage_mana_break_Lore"									"Antimagikeren er kommet for at tage mig... men jeg er klar. <i>&#8211; Turath, flygtet fra Tylers Gods</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Smertensskrig"
		"dac_ability_queenofpain_scream_of_pain_Description"					"Smertens Dronning afgiver et gennemborende skrig. Hun skader alle fjender op til {s:radius} felter væk og giver {s:damage} skade."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"Akasha er muligvis ikke en nær ven, men hun hjælper mig gerne, hvis hun tror, hun kan herske over mig senere. <i>&#8211; Anessix, pragmatisk dæmon</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Lagunasværd"
		"dac_ability_lina_laguna_blade_Description"								"Lina udløser et lynnedslag og giver {s:damage} skade til en enkelt enhed og sætter ild til enheden i {s:fire_duration} sek."
		"dac_ability_lina_laguna_blade_Lore"									"Det var ikke svært at overtale Lina til at gå til Det Hvide Spir, da vi begge er fan af hinandens arbejde. <i>&#8211; Hobgen, professionel pyroman</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Naturens Kald"
		"dac_ability_natures_prophet_summon_tree_Description"					"Naturens Profet hidkalder en treant. Treanten betragtes som en druide. Når treanten har 3 stjerner, genoplives den på fjendens side af brættet."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Enno har rakt ud til sine små skovvenner... Dette kan blive et problem. <i>&#8211; O'nia, forvist købmand fra Revtel</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Naturens Vrede"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"Naturens Profet rammer et mål med en energi, som giver {s:damage} skade. Energien hopper {s:jumps} gange mellem fjender på brættet og øger skaden med {s:increase_pct}% pr. hop."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"I realiteten er jeg overflødig. Det er ikke nødvendigt med et våben for at slå en mand ihjel. Man skal bare have tålmodighed og lade naturen gå sin gang. <i>&#8211; Den Stille, beregnende robot</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Kraftskud"
		"dac_ability_windrunner_powershot_Description"							"Windranger charges her bow for up to {s:castPoint} seconds for a single powerful shot, dealing up to {s:powershot_damage} damage. For each enemy that Powershot hits, its damage is reduced by {s:damage_reduction}%. At 3 stars, at the start of charging her bow, Windranger gains {s:evasion}% evasion and becomes magic immune. This lasts for {s:evasion_duration} seconds."
