"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatikus támadás"
		"dac_ability_regen"														"Regenerálódás"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Manamegtörés"
		"dac_ability_antimage_mana_break_Description"							"PASSZÍV: Antimágus minden támadásával eléget {s:mana_per_hit} pontot az ellenfél manájából, az elégetett mana 50%-át okozva sebzésként a célpontnak. Bandavezéreket támadva {s:hype_per_hit} hírnevet éget el."
		"dac_ability_antimage_mana_break_Lore"									"Antimágus eljött értem... és én készen fogom várni. - <i>Turath, Tyler-birtoki szökevény</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Fájdalomsikoly"
		"dac_ability_queenofpain_scream_of_pain_Description"					"A Fájdalom Királynője éles sikolyt hallat, {s:damage} sebzést okozva {s:radius} mezőn belül minden ellenségnek."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"Akasha ugyan nem közeli barátom, de örömmel fog segíteni, ha úgy gondolja, később majd basáskodhat fölöttem. - <i>Annesix, a pragmatikus démon</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Laguna kardja"
		"dac_ability_lina_laguna_blade_Description"								"Lina villámcsapást idéz meg, {s:damage} sebzést okozva egyetlen egységnek, és {s:fire_duration} másodpercre lángra lobbantva azt."
		"dac_ability_lina_laguna_blade_Lore"									"Nem volt nehéz Linát Fehér Toronyba csábítani; mindketten nagy rajongói vagyunk egymás munkájának. - <i>Hobgen, hivatásos gyújtogató</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"A természet hívása"
		"dac_ability_natures_prophet_summon_tree_Description"					"A Természet Prófétája megidéz egy treantot. Ez a treant druidának számít."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Enno kapcsolatba lépett kis erdei barátaival... Ez problémát jelenthet. - <i>O'nia, száműzött revteli kereskedő</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"A természet haragja"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"A Természet Prófétája megrázza a célpontot, {s:damage} sebzést okozva. Az energia {s:jumps} alkalommal ugrik át ellenségek között a táblán, miközben ugrásonként {s:increase_pct}%-kal nő a sebzése."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"Az a helyzet, hogy én ide már nem kellek. Nem kell fegyver, hogy megölj valakit, csak türelem, kivárni, hogy a természet tegye a dolgát. - <i>Csöndes, a számító óraműves</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Átlövés"
		"dac_ability_windrunner_powershot_Description"							"Szélvész legfeljebb {s:castPoint} másodpercig felhúzva tartja íját egyetlen erőteljes lövéshez, amely legfeljebb {s:powershot_damage} pontot sebez. Az Átlövés sebzése minden egyes eltalált ellenséggel {s:damage_reduction}%-ot csökken."
		"dac_ability_windrunner_powershot_Lore"									"Sok barátot szereztem utazásaim során, és nem félek behajtani a tartozásokat. - <i>Wren, világutazó</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Bénító szelence"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Kuruzsló eldob egy bénító poros szelencét, ami {s:bounces} alkalommal pattan meg ellenséges egységek között, bénítva és {s:damage} ponttal sebezve azokat, amelyeket eltalál."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Imádom nézni, amikor dolgozik, doki... - <i>Hobgen, tündér bajkeverő</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Kardforgatag"
		"dac_ability_juggernaut_blade_fury_Description"							"Fékezhetetlen pörögni kezd a kardjával, ami immunissá teszi a mágiával szemben, és {s:duration} másodpercig {s:radius} mezőn belül másodpercenként {s:damage} sebzést okoz az ellenséges egységeknek. Fékezhetetlen mágikus sebzés elkerüléséhez is pörögni kezdhet."
		"dac_ability_juggernaut_blade_fury_Lore"								"Yurnero nem csak egy harcos. Ő egy Fékezhetetlen. Ha a mi oldalunkra állítjuk, hamarosan hegyekben fognak állni a holttestek. - <i>Grek, minden szempontot figyelembe véve</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"Csapdaásás"
		"dac_ability_sandking_burrowstrike_Description"							"Homokkirály a földbe ássa magát és egy vájatban halad előre, {s:damage} ponttal sebezve és {s:stun_duration} másodpercre megbénítva az ellenségeket.<br>Egy példány Csípős végszót alkalmaz minden eltalált ellenségen."
		"dac_ability_sandking_burrowstrike_Lore"								"Sok munkát fektettünk az alagúthálózatunk kialakításába, nem hagyhatjuk, hogy a Homokkirály romba döntse, amit építettünk. - <i>Jull, alkoholbáró</i>"

		"dac_ability_sandking_caustic_finale"									"Csípős végszó"
		"dac_ability_sandking_caustic_finale_Description"						"PASSZÍV: Valahányszor Homokkirály ellenséget talál el, {s:apply_duration} másodpercre megmérgezi azt. Az idő lejártával a méreg kirobban, {s:damage_aoe} sebzést okozva és {s:slow_duration} másodpercre {s:attack_slow} értékkel lassítva minden szomszédos ellenség támadási sebességét. A sebzés feleződik, ha a célpont még él."
		"dac_ability_sandking_caustic_finale_Lore"								"Olyan nehéz lenne leteríteni valami ponyvát? - <i>Anessix, tisztaságszerető infernalista</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Lélekrekviem"
		"dac_ability_shadow_fiend_requiem_Description"							"Árnybestia kibocsátja az elkárhozottak lelkeit, démoni energiát szabadítva el maga körül, {s:damage} sebzést okozva bárkinek, akit a kitörés eltalál."
		"dac_ability_shadow_fiend_requiem_Lore"									"A ristuli udvar és köztem van egy... megállapodás. - <i>Anessix, földre szállt démon</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Kegyelemdöfés"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"PASSZÍV: Fantom Orgyilkosnak {s:crit_chance}% esélye van pusztító, {s:crit_bonus}%-os kritikus találatot okozni ellenséges egységeken."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Kwerthiast is ő ölte meg, miért ne feltételezzem, hogy engem is meg akar? - <i>O'nia, paranoiás kereskedő</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Pontosság aura"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"PASSZÍV: Drow Vadász {s:bonus}% támadási sebességbónuszt ad {s:range} mezőn belül minden szövetségesnek."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Traxex, hidd el, hogy mi ketten együtt be fogunk futni. - <i>Grek, a behízelgő modorú</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Hullámalak"
		"dac_ability_morphling_waveform_Description"							"Formálódó folyadékká alakul és előreáramlik, {s:damage} sebzést okozva az útjába eső ellenséges egységeknek.<br><br>Formálódó a Hullámalak során sebezhetetlen."
		"dac_ability_morphling_waveform_Lore"									"Turath képessége az olyanok kegyébe férkőzésre, mint Formálódó... aggasztó. - <i>Csöndes, óraműves összeesküvő</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Dühöngő kihívás"
		"dac_ability_axe_berserkers_call_Description"							"Fejszés kigúnyolja a(z) {s:radius} mezőn belüli ellenséges egységeket, {s:duration} másodpercig az ő támadására sarkallva azokat. Amíg a Dühöngő kihívás aktív, Fejszés {s:bonus_armor} páncélbónuszt kap."
		"dac_ability_axe_berserkers_call_Lore"									"Fejszés segítségét könnyű megszerezni... Csak egy sörbe, meg annak ígéretébe kerül, hogy mesélhet majd róla egy jó sztorit. - <i>Wren, újsütetű lázadó</i>" 

		"dac_ability_axe_culling_blade"											"Ritkítófejsze"
		"dac_ability_axe_culling_blade_Description"								"Ha a célpontnak {s:target_percent_health_threshold}%-nál kevesebb az életereje, Fejszés azonnal megöli. A fejszéjével."
		"dac_ability_axe_culling_blade_Lore"									"Fejszés NAGYON jó emberek félbehasításában. - <i>Jólelkű, Fejszés bárdja</i>" 

		"dac_ability_axe_counter_helix"											"Körkörös válaszcsapás"
		"dac_ability_axe_counter_helix_Description"								"Fejszésnek az őt ért támadáskor {s:spin_chance}% esélye van körkörös ellentámadás végrehajtására, {s:spin_damage} tiszta sebzést okozva az egy mezőn belüli összes ellenségnek."
		"dac_ability_axe_counter_helix_Lore"									"Egyszer beengedtem a Meghasadt Holdba... és a kocsmai bunyó után az egész átokverte helyet újra kellett építtetnem. - <i>Jull arról, miért nem engedi vissza Fejszést a kocsmájába</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Plazmamező"
		"dac_ability_razor_plasma_field_Description"							"Metsző plazmagyűrűt bocsát ki, ami terjeszkedve egyre erősebbé válik, de visszahúzódáskor is hat, {s:radius} mezőn belül lassítva és legfeljebb {s:damage_max} ponttal sebezve az ellenséges egységeket.<br><br>A sebzés és a lassítás a Metszőtől mért távolsággal növekszik.<br><br>A Plazmamező minden egységet kétszer talál el, mindkét irányban egyszer."
		"dac_ability_razor_plasma_field_Lore"									"Ha azt hiszed, hogy Fehér Torony utcáin rémisztő látvány, látnod kéne, amit a Keskeny Útvesztőben művel. - <i>Anessix, sportrajongó</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Misztikus aura"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"PASSZÍV: Kristályhajadon {s:interval} másodpercenként {s:mana_regen} manát ad minden baráti egységnek."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"Derítsétek ki, hogy értem, vagy Turath-ért jött-e ide! - <i>Jull, jégtönki csempész</i>"

		"dac_ability_crystal_maiden_frostbite"									"Átfagyás"
		"dac_ability_crystal_maiden_frostbite_Description"						"Jégbe zár egy ellenséges egységet, megakadályozva mozgását és támadását, és közben {s:duration} másodpercig másodpercenként {s:damage} sebzést okoz. Az Átfagyás hatása alatti célpontok nem gyógyíthatók."
