"lang"
{ 
	"Language" "romanian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-atac"
		"dac_ability_regen"														"Regenerare"

		// ANTIMAGE
		"dac_ability_antimage_mana_break"										"Sfărâmare de mana"
		"dac_ability_antimage_mana_break_Description"							"PASIV: Anti-Mag arde {s:mana_per_hit} din mana adversarului în urma fiecărui atac, cauzând țintei 50% din mana arsă drept daune."
		"dac_ability_antimage_mana_break_Lore"									"Anti-Magul a venit după mine... iar eu voi fi pregătit. - <i>Turath, fugar din Moșia Tyler</i>"

		//QUEEN OF PAIN
		"dac_ability_queenofpain_scream_of_pain"								"Țipătul durerii"
		"dac_ability_queenofpain_scream_of_pain_Description"					"Regina Durerii emite un țipăt asurzitor în jurul ei, cauzând {s:damage} de daune inamicilor aflați la o distanță de {s:radius} celule."
		"dac_ability_queenofpain_scream_of_pain_Lore"							"E posibil ca Akașa să nu fie o prietenă foarte apropiată, dar mă ajută cu plăcere atunci când știe că va putea folosi favorul mai încolo împotriva mea.- <i>Anessix, demon pragmatic</i>"

		//LINA
		"dac_ability_lina_laguna_blade"											"Lama laguna"
		"dac_ability_lina_laguna_blade_Description"								"Lina dezlănțuie un fulger care cauzează {s:damage} de daune unei singure unități și o incendiază timp de {s:fire_duration} secunde."
		"dac_ability_lina_laguna_blade_Lore"									"Nu a fost greu s-o conving pe Lina să vină spre Spira Albă, ne admirăm activitatea în mod reciproc. <i>Hobgen, incendiator profesionist</i>"

		//FURION
		"dac_ability_natures_prophet_summon_tree"								"Chemarea naturii"
		"dac_ability_natures_prophet_summon_tree_Description"					"Profetul Naturii invocă un treant. La 3 stele, treantul este invocat pe partea adversă a tablei."
		"dac_ability_natures_prophet_summon_tree_Lore"							"Enno a cerut ajutor micilor săi prieteni din pădure... s-ar putea să fie de rău. - <i>O'nia, negustoarea izgonită din Revtel</i>"

		"dac_ability_natures_prophet_wrath_of_nature"							"Mânia naturii"
		"dac_ability_natures_prophet_wrath_of_nature_Description"				"Profetul Naturii lovește o țintă cu o energie care cauzează {s:damage} de daune. Energia acesta sare de {s:jumps} ori pe inamicii de pe tablă, mărind daunele cu {s:increase_pct}% per salt."
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"În realitate, scopul meu este fără de folos. Nu ai nevoie de o armă pentru a ucide un om, tot ceea ce-ți trebuie este răbdarea pentru a lăsă natura să-și facă treaba. - <i>Liniște, robot calculat</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"Săgeată străpungătoare"
		"dac_ability_windrunner_powershot_Description"							"Pădurașa Vântului își încordează arcul timp de {s:castPoint} secunde pentru o singură lovitură puternică, cauzând până la {s:powershot_damage} de daune. Pentru fiecare inamic lovit de Săgeata străpungătoare, daunele săgeții sunt reduse cu {s:damage_reduction}%. La trei stele, la începutul încordării arcului, Pădurașa Vântului primește {s:evasion}% evitare și devine imună la magie. Aceste efecte durează {s:evasion_duration} secunde."
		"dac_ability_windrunner_powershot_Lore"									"Mi-am făcut mulți prieteni de-a lungul călătoriilor mele și nu mi-e teamă să cer favoruri. - <i>Wren, călătoare prin lume</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"Butoi paralizant"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Vraciul lansează un butoi cu praf paralizant care sare de {s:bounces} ori de la o unitate inamică la alta, năucindu-le și cauzându-le {s:damage} de daune celor lovite. La trei stele, Vraciul, de asemenea, blestemă timp de {s:health_interval} secunde unitățile lovite de butoi, cauzând {s:damage_per_sec} de daune pe secundă. La final, unitatea va încasa un supliment de {s:damage_pct}% din toate daunele primite pe parcursul blestemului."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Îmi place să te văd la muncă, vraciule... - <i>Hobgen, zâna poznașă</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Furia spadei"
