"lang"
{
	"Language"		"japanese"
	"Tokens"
	{
		"DAC_ItemType_Default"		"デフォルト"
		"DAC_ItemType_PlayerTitle"		"プレイヤータイトル"
		"DAC_WearableType_Default"		"指定なしのウェアラブルタイプ"
		"DOTA_Item_Abaddon_lvl1"		"アバドン レベル 1"
		"DOTA_Item_Abaddon_lvl2"		"アバドン レベル 2"
		"DOTA_Item_Abaddon_lvl3"		"アバドン レベル 3"
		"DOTA_Item_Alchemist_lvl1"		"アルケミスト レベル 1"
		"DOTA_Item_Alchemist_lvl2"		"アルケミスト レベル 2"
		"DOTA_Item_Alchemist_lvl3"		"アルケミスト レベル 3"
		"DOTA_Item_AntiMage_lvl1"		"アンチメイジ レベル1"
		"DOTA_Item_AntiMage_lvl2"		"アンチメイジ レベル 2"
		"DOTA_Item_AntiMage_lvl3"		"アンチメイジ レベル 3"
		"DOTA_Item_Axe_lvl1"		"アックス レベル 1"
		"DOTA_Item_Axe_lvl2"		"アックス レベル 2"
		"DOTA_Item_Axe_lvl3"		"アックス レベル 3"
		"DOTA_Item_Batriders_Cloak_lvl2"		"バットライダーのマント レベル 2"
		"DOTA_Item_Batriders_Cloak_lvl3"		"バットライダーのマント レベル 3"
		"DOTA_Item_Batriders_Mount_lvl2"		"バットライダーのマウント レベル 2"
		"DOTA_Item_Batriders_Mount_lvl3"		"バットライダーのマウント レベル 3"
		"DOTA_Item_Blood_Seekers_Blade_lvl2"		"Blood Seeker's Blade lvl2"
		"DOTA_Item_Blood_Seekers_Blade_lvl3"		"Blood Seeker's Blade lvl3"
		"DOTA_Item_Blood_Seekers_Headdress_lvl2"		"Blood Seeker's Headdress lvl2"
		"DOTA_Item_Blood_Seekers_Headdress_lvl3"		"Blood Seeker's Headdress lvl3"
		"DOTA_Item_Blood_Seekers_Necklace_lvl2"		"Blood Seeker's Necklace lvl2"
		"DOTA_Item_Blood_Seekers_Necklace_lvl3"		"Blood Seeker's Necklace lvl3"
		"DOTA_Item_Blood_Seekers_Offhand_Blade_lvl2"		"Blood Seeker's Offhand Blade lvl2"
		"DOTA_Item_Blood_Seekers_Offhand_Blade_lvl3"		"Blood Seeker's Offhand Blade lvl3"
		"DOTA_Item_Bounty_Hunters_Offhand_Weapon_lvl3"		"Bounty Hunter's Offhand Weapon lvl3"
		"DOTA_Item_Bounty_Hunters_Shoulder_lvl3"		"Bounty Hunter's Shoulder lvl3"
		"DOTA_Item_Bounty_Hunters_Weapon_lvl3"		"Bounty Hunter's Weapon lvl3"
		"DOTA_Item_Clockwerks_Armor_lvl2"		"Clockwerk's Armor lvl2"
		"DOTA_Item_Clockwerks_Head_lvl2"		"Clockwerk's Head lvl3"
		"DOTA_Item_Clockwerks_Rocket_lvl2"		"Clockwerk's Rocket lvl2"
		"DOTA_Item_Clockwerks_Weapon_lvl2"		"Clockwerk's Weapon lvl2"
		"DOTA_Item_Clockwerks_Weapon_lvl3"		"Clockwerk's Weapon lvl3"
		"DOTA_Item_Crystal_Maidens_Cape_lvl2"		"Crystal Maiden's Cape lvl2"
		"DOTA_Item_Crystal_Maidens_Cape_lvl3"		"Crystal Maiden's Cape lvl3"
		"DOTA_Item_Crystal_Maidens_Headdress_lvl2"		"Crystal Maiden's Headdress lvl2"
		"DOTA_Item_Crystal_Maidens_Headdress_lvl3"		"Crystal Maiden's Headdress lvl3"
		"DOTA_Item_Crystal_Maidens_Shoulder_Pads_lvl2"		"Crystal Maiden's Shoulder Pads lvl2"
		"DOTA_Item_Crystal_Maidens_Shoulder_Pads_lvl3"		"Crystal Maiden's Shoulder Pads lvl3"
		"DOTA_Item_Desc_TestTitle"		"This is a test title"
