"lang"
{
	"Language"		"danish"
	"Tokens"
	{
		"DAC_ItemType_Barricade_Skin"		"Skin til barrikade"
		"DAC_ItemType_Board_Buddy_Title"		"Brætven"
		"DAC_ItemType_Board_Spray"		"Brætspray"
		"DAC_ItemType_Comic"		"Tegneserie"
		"DAC_ItemType_Default"		"Standard"
		"DAC_ItemType_Fireworks"		"Fyrværkerieffekt"
		"DAC_ItemType_Hero_Skin"		"Skin til helt"
		"DAC_ItemType_Key"		"Nøgle"
		"DAC_ItemType_KillStreak"		"Sejrsrækkeeffekt"
		"DAC_ItemType_LootList"		"Mystisk skat"
		"DAC_ItemType_Map"		"Bræt"
		"DAC_ItemType_Map_Prop"		"Brætrekvisit"
		"DAC_ItemType_PlayerChatWheel"		"Chathjul"
		"DAC_ItemType_PlayerFlagBase"		"Bannerholder"
		"DAC_ItemType_PlayerFlagImage"		"Bannerbillede"
		"DAC_ItemType_PlayerFlagShape"		"Banner"
		"DAC_ItemType_PlayerProfileRing"		"Profilring"
		"DAC_ItemType_PlayerTitle"		"Spillertitel"
		"DAC_ItemType_PlayerYo"		"Spillerreaktion"
		"DAC_ItemType_StreetfightItem"		"Gadekamp – genstand"
		"DAC_ItemType_Talent"		"Talent"
		"DAC_ItemType_Target_Buddy_Skin"		"Skin til skydeskive"
		"DAC_ItemType_Teleport"		"Teleporteringseffekt"
		"DAC_ItemType_UnderlordItem"		"Underlord-genstand"
		"DAC_ItemType_Underlord_Damage_Effect"		"Underlords skadeeffekt"
		"DAC_ItemType_Wanted_Poster"		"Eftersøgningsplakat"
		"DAC_ItemType_Wanted_Poster_Title"		"Titel til eftersøgningsplakat"
		"DAC_Item_100Credits"		"100 mønter"
		"DAC_Item_100Credits_Desc"		"100 mønter"
		"DAC_Item_13000"		"Slagsværd til gadekamp"
		"DAC_Item_13000_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13001"		"Slagsværd til gadekamp"
		"DAC_Item_13001_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13002"		"Slagsværd til gadekamp"
		"DAC_Item_13002_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13003"		"Slagsværd til gadekamp"
		"DAC_Item_13003_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13004"		"Tomhedssten til gadekamp"
		"DAC_Item_13004_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13005"		"Tomhedssten til gadekamp"
		"DAC_Item_13005_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13006"		"Tomhedssten til gadekamp"
		"DAC_Item_13006_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13007"		"Tomhedssten til gadekamp"
		"DAC_Item_13007_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13008"		"Livsbooster til gadekamp"
		"DAC_Item_13008_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13009"		"Livsbooster til gadekamp"
		"DAC_Item_13009_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13010"		"Livsbooster til gadekamp"
		"DAC_Item_13010_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13011"		"Livsbooster til gadekamp"
		"DAC_Item_130116"		"Vredens Kampøkse til gadekamp"
		"DAC_Item_130116_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13011_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13012"		"Ringbrynje til gadekamp"
		"DAC_Item_13012_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13016"		"Hurtignæve til gadekamp"
		"DAC_Item_13016_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13017"		"Hurtignæve til gadekamp"
		"DAC_Item_13017_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13018"		"Hurtignæve til gadekamp"
		"DAC_Item_13018_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13019"		"Hurtignæve til gadekamp"
		"DAC_Item_13019_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13020"		"Hovedbeklædning til gadekamp"
		"DAC_Item_13020_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13021"		"Hovedbeklædning til gadekamp"
		"DAC_Item_13021_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13022"		"Hovedbeklædning til gadekamp"
		"DAC_Item_13022_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13023"		"Hovedbeklædning til gadekamp"
		"DAC_Item_13023_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13024"		"Morbid Maske til gadekamp"
		"DAC_Item_13024_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13025"		"Morbid Maske til gadekamp"
		"DAC_Item_13025_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13026"		"Morbid Maske til gadekamp"
