"dac"
{
	// General Strings
	"OK"												"OK"
	"Cancel"											"Cancelar"
	"Close"												"Close"
	"LetsGo"											"Vamos lá"
	"generic_error_header"								"Erro"	
	"DAC_InvalidPersonaName"							"[unknown]"
	"DAC_PlayerName_Bot"								"bot"
	"DAC_PlayerName_Local" 								"Player 1"

	"DAC_PercentSymbol"									"%"

	"or"												"ou"

	"DAC_ConnectingToSteam"								"A conectar-te ao Steam..."
	"DAC_ConnectingToGC"								"A conectar-te ao coordenador, o que pode demorar alguns segundos..."

	"DAC_Go_Online"										"Jogar online"
	"DAC_SteamLogIn_Title"								"Sign in to Steam"
	"DAC_SteamLogIn_SubHeader"							"Play multiplayer games, level up your Underlord Rank, and gain access to the rewards in the Battle Pass and City Crawl."
	"DAC_SteamLogIn_CreateFree"							"Create Free Account"

	"DAC_SteamLogIn_Desc1"								"Inicia a sessão no Steam para jogares partidas com outros jogadores, subires o teu nível de Underlords e acompanhares o teu progresso no telemóvel, tablet e PC."
	"DAC_SteamLogIn_Desc2"								"Sobe o teu nível de Underlord e acompanha o teu progresso no telemóvel, tablet e PC."
	"DAC_SteamLogIn_Desc3"								"Earn achievements and get access to Seasonal Battle Pass features."
	"DAC_SteamLogIn_Desc4"								"Inicia a sessão no Steam para jogares este modo."
	"DAC_SteamPlayOffline"								"Cancelar"
	"DAC_SteamAccountName"								"Account Name" 
	"DAC_SteamAccountPassword"							"Palavra-passe"
	"DAC_SteamGuardCode"								"Código do Steam Guard"
	"DAC_SteamAccountLogin"								"Iniciar sessão"
	"DAC_SteamAcountStoreCredentials"					"Memorizar-me"
	"DAC_SteamCreateAccount"							"Criar conta"
	"DAC_SteamLogIn_Help"								"Need Help signing in?"
	"DAC_SteamLogIn_Forgot"								"Esqueceste-te da palavra-passe?"
	"DAC_SteamLogIn_Connecting"							"A conectar-te ao Steam"
	"DAC_SteamLogIn_FailedGeneric"						"Failed to log into Steam.  Please try again.  (Error code {i:error_code})"
	"DAC_SteamLogIn_FailedPassword"						"Invalid Password.  Please try again."
	"DAC_SteamLogOut"									"Terminar sessão"
	"DAC_LandingSubtitle"								"Beta privada"
	"DAC_InvisibleMode"									"Aparecer offline para amigos no Steam enquanto jogas"
	"DAC_SteamCreateNewAccount"							"Don't have a Steam account?"

	"DAC_MatchTypeMultiplayer"							"Multijogador"
	"DAC_MatchTypeStandard"								"Standard"
	"DAC_MatchTypeOnline"								"Online"
	"DAC_MatchTypeTurbo"								"Knockout"
	"DAC_MatchTypeMultiplayerMMSelect"					"Selecionar tipo"
	"DAC_MatchTypeName0"								"Casual"
	"DAC_MatchTypeNameRanked"							"Competitivo"
	"DAC_MatchTypeBotTeammate"							"Parceiro Bot"
	"DAC_MatchTypeInviteAFriend"						"Convidar amigo"
	"DAC_MatchTypeNameRankedLocked1"					"Joga {i:games_needed_to_unlock_ranked} partida casual para desbloquear"
	"DAC_MatchTypeNameRankedLockedPlural"				"Joga {i:games_needed_to_unlock_ranked} partidas casuais para desbloquear"
	"DAC_MatchTypeBotMatch"								"Contra bots"
	"DAC_MatchTypeNameDuos"								"Duplas"
	"DAC_MatchTypeDuosBotMatch"							"Contra bots (Duplas)"
	"DAC_MatchTypeName1_Party"							"Lobby privado"
	"DAC_MatchTypeName1"								"Clássico"
	"DAC_MatchTypeName7"								"Tutorial"
	"DAC_MatchTypeName2"								"Knockout"
	"DAC_MatchTypeName3"								"Duplas"
	"DAC_MatchTypeName5"								"Modo livre"
	"DAC_MatchTypeName8"								"Streetfight"
	"DAC_MatchOpponent"									"Adversário"
	"DAC_MatchResume"									"Retomar"
	"DAC_MatchTeammate"									"Parceiro"
